future,accuracy,roc,f1,precision,recall
F_FP,0.5336538461538461,0.5032506733537662,0.686084142394822,0.5353535353535354,0.954954954954955
F_FY,0.5063829787234042,0.5460487225193108,0.40816326530612246,0.6666666666666666,0.29411764705882354
F_GX,0.46808510638297873,0.5209346896653398,0.20382165605095542,0.6666666666666666,0.12030075187969924
F_HP,0.4652173913043478,0.5026709401709402,0.6019417475728155,0.45365853658536587,0.8942307692307693
F_LR,0.5151515151515151,0.4888076575218571,0.19999999999999998,0.42424242424242425,0.1308411214953271
F_LQ,0.4868421052631579,0.48086694188631307,0.41791044776119407,0.3925233644859813,0.44680851063829785
F_ND,0.4935064935064935,0.5053391487441721,0.5714285714285714,0.47560975609756095,0.7155963302752294
F_NY,0.5454545454545454,0.5012870987280437,0.6956521739130436,0.5504587155963303,0.9448818897637795
F_PQ,0.5771144278606966,0.5409309791332263,0.6931407942238267,0.5818181818181818,0.8571428571428571
F_RR,0.43722943722943725,0.43966942148760335,0.45378151260504196,0.421875,0.4909090909090909
F_RF,0.5064935064935064,0.5338288834951457,0.5869565217391304,0.4682080924855491,0.7864077669902912
F_RP,0.47186147186147187,0.5080645161290323,0.031746031746031744,1.0,0.016129032258064516
F_RY,0.5757575757575758,0.5628301886792453,0.4673913043478261,0.5512820512820513,0.4056603773584906
F_SH,0.5627705627705628,0.49736641221374045,0.7186629526462396,0.5657894736842105,0.9847328244274809
F_SX,0.45021645021645024,0.4730548221773567,0.4304932735426009,0.5581395348837209,0.35036496350364965
F_TR,0.5627705627705628,0.5425627913972025,0.6853582554517135,0.5527638190954773,0.9016393442622951
F_EB,0.6229508196721312,0.5,0.0,0.0,0.0
F_VF,0.5659340659340659,0.5610975609756097,0.6069651741293532,0.6039603960396039,0.61
F_VT,0.6274509803921569,0.5791536050156739,0.7397260273972602,0.6136363636363636,0.9310344827586207
F_VW,0.5161290322580645,0.5,0.0,0.0,0.0
F_GD,0.5462962962962963,0.4977816441931274,0.6898734177215189,0.558974358974359,0.9008264462809917
F_F,0.7276595744680852,0.49709302325581395,0.0,0.0,0.0
