future,accuracy,roc,f1,precision,recall
F_RY,0.5627705627705628,0.5694716981132075,0.5774058577405857,0.518796992481203,0.6509433962264151
F_SH,0.5714285714285714,0.5061832061068703,0.724233983286908,0.5701754385964912,0.9923664122137404
F_SX,0.45454545454545453,0.49006056841124396,0.3942307692307692,0.5774647887323944,0.29927007299270075
F_TR,0.5108225108225108,0.513423071138517,0.5022026431718061,0.5428571428571428,0.4672131147540984
F_EB,0.6229508196721312,0.5,0.0,0.0,0.0
F_VF,0.5494505494505495,0.5032926829268293,0.7028985507246377,0.5511363636363636,0.97
F_VT,0.5686274509803921,0.5,0.725,0.5686274509803921,1.0
F_VW,0.5161290322580645,0.5,0.0,0.0,0.0
F_GD,0.5231481481481481,0.49408438451500647,0.6334519572953737,0.55625,0.7355371900826446
F_F,0.7276595744680852,0.49709302325581395,0.0,0.0,0.0
